object,column,claim_type,wiki_value,truth_value,truth_source,wiki_file,wiki_line,verdict_source,verdict,contradicting_fact_verbatim,raw_context
Dim_Customer,CampaignID,description,Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. NULL for organically acquired customers. (Tier 1 - Customer.CustomerStatic),Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. 0 for organically acquired customers (NULLs are converted to 0 by SP_Dim_Customer).,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,288,llm,WRONG,"ISNULL(CampaignID,0) AS CampaignID",Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. NULL for organically acquired customers. (Tier 1 - Customer.CustomerStatic)
Dim_Customer,VerificationLevelID,description,"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified (34.2%), 1=partial (12.4%), 2=intermediate (6.2%), 3=fully verified (47.1%). Default=0. (Tier 1 — BackOffice.Customer)","KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified, 1=partial, 2=intermediate, 3=fully verified. DDL default=-1; SP_Dim_Customer converts NULLs to 0 via ISNULL.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,199,llm,WRONG,VerificationLevelID int NULL DEFAULT ((-1)),"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified (34.2%), 1=partial (12.4%), 2=intermediate (6.2%), 3=fully verified (47.1%). Default=0. (Tier 1 — BackOffice.Customer)"
Dim_Customer,VerificationLevelID,description,"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified (34.2%), 1=partial (12.4%), 2=intermediate (6.2%), 3=fully verified (47.1%). Default=0. (Tier 1 - BackOffice.Customer)","KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified, 1=partial, 2=intermediate, 3=fully verified. DDL default=-1; SP_Dim_Customer converts NULLs to 0 via ISNULL.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,82,llm,WRONG,VerificationLevelID int NULL DEFAULT ((-1)),"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified (34.2%), 1=partial (12.4%), 2=intermediate (6.2%), 3=fully verified (47.1%). Default=0. (Tier 1 - BackOffice.Customer)"
Dim_Customer,VerificationLevelID,description,"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified (34.2%), 1=partial (12.4%), 2=intermediate (6.2%), 3=fully verified (47.1%). Default=0. (Tier 1 - BackOffice.Customer)","KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified, 1=partial, 2=intermediate, 3=fully verified. DDL default=-1; SP_Dim_Customer converts NULLs to 0 via ISNULL.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,319,llm,WRONG,VerificationLevelID int NULL DEFAULT ((-1)),"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified (34.2%), 1=partial (12.4%), 2=intermediate (6.2%), 3=fully verified (47.1%). Default=0. (Tier 1 - BackOffice.Customer)"
Dim_Customer,AccountStatusID,description,Account operational status. Default=1 (Active/Normal). 2=Closed or Restricted. (Tier 1 — Customer.CustomerStatic),Account operational status. Default=0. SP_Dim_Customer converts NULLs to 0 via ISNULL.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,175,llm,WRONG,AccountStatusID int NULL DEFAULT ((0)),Account operational status. Default=1 (Active/Normal). 2=Closed or Restricted. (Tier 1 — Customer.CustomerStatic)
Dim_Customer,AccountStatusID,description,Account operational status. Default=1 (Active/Normal). 2=Closed or Restricted. (Tier 1 - Customer.CustomerStatic),Account operational status. Default=0. SP_Dim_Customer converts NULLs to 0 via ISNULL.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,63,llm,WRONG,AccountStatusID int NULL DEFAULT ((0)),Account operational status. Default=1 (Active/Normal). 2=Closed or Restricted. (Tier 1 - Customer.CustomerStatic)
Dim_Customer,AccountStatusID,description,Account operational status. Default=1 (Active/Normal). 2=Closed or Restricted. (Tier 1 - Customer.CustomerStatic),Account operational status. Default=0. SP_Dim_Customer converts NULLs to 0 via ISNULL.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,300,llm,WRONG,AccountStatusID int NULL DEFAULT ((0)),Account operational status. Default=1 (Active/Normal). 2=Closed or Restricted. (Tier 1 - Customer.CustomerStatic)
Dim_Customer,MifidCategorizationID,description,"MiFID II investor classification. FK to Dictionary.MifidCategorization. Values: 1=Retail (97.3%), 4=Retail Pending (2.6%), 5=Pending (0.03%). Default=1. (Tier 1 - BackOffice.Customer)","MiFID II investor classification. FK to Dictionary.MifidCategorization. Values: 1=Retail (97.3%), 4=Eligible Counterparty (2.6%), 5=Professional (0.03%). Default=1.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,90,llm,WRONG,Value 1 (highest protection/eligible counterparty): MifidCategorizationID=4,"MiFID II investor classification. FK to Dictionary.MifidCategorization. Values: 1=Retail (97.3%), 4=Retail Pending (2.6%), 5=Pending (0.03%). Default=1. (Tier 1 - BackOffice.Customer)"
Dim_Customer,MifidCategorizationID,description,"MiFID II investor classification. FK to Dictionary.MifidCategorization. Values: 1=Retail (97.3%), 4=Retail Pending (2.6%), 5=Pending (0.03%). Default=1. (Tier 1 - BackOffice.Customer)","MiFID II investor classification. FK to Dictionary.MifidCategorization. Values: 1=Retail (97.3%), 4=Eligible Counterparty (2.6%), 5=Professional (0.03%). Default=1.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,327,llm,WRONG,Value 1 (highest protection/eligible counterparty): MifidCategorizationID=4,"MiFID II investor classification. FK to Dictionary.MifidCategorization. Values: 1=Retail (97.3%), 4=Retail Pending (2.6%), 5=Pending (0.03%). Default=1. (Tier 1 - BackOffice.Customer)"
Dim_DocumentStatus,DocumentStatusID,description,"Primary key identifying the document review state. 1=New Upload, 2=Reviewed, 3=Accepted, 4=Rejected, 5=POIApproved. (Tier 1 — Dictionary.DocumentStatus)","Primary key identifying the document review state. 1=Uploaded, 2=PendingReview, 3=Approved, 4=Declined, 5=Expired. Sourced from Dictionary.DocumentStatus.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_DocumentStatus.md,100,llm,WRONG,"1=Uploaded, 2=PendingReview, 3=Approved, 4=Declined, 5=Expired","Primary key identifying the document review state. 1=New Upload, 2=Reviewed, 3=Accepted, 4=Rejected, 5=POIApproved. (Tier 1 — Dictionary.DocumentStatus)"
Dim_DocumentStatus,DocumentStatusID,description,"Primary key identifying the document review state. 1=New Upload, 2=Reviewed, 3=Accepted, 4=Rejected, 5=POIApproved. (Tier 1 - Dictionary.DocumentStatus)","Primary key identifying the document review state. 1=Uploaded, 2=PendingReview, 3=Approved, 4=Declined, 5=Expired. Sourced from Dictionary.DocumentStatus.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_DocumentStatus.alter.sql,27,llm,WRONG,"1=Uploaded, 2=PendingReview, 3=Approved, 4=Declined, 5=Expired","Primary key identifying the document review state. 1=New Upload, 2=Reviewed, 3=Accepted, 4=Rejected, 5=POIApproved. (Tier 1 - Dictionary.DocumentStatus)"
Dim_ExecutionOperationType,OperationTypeId,description,"Primary key. Integer code identifying the trading execution operation type. Values: 0=OrderForOpen, 1=OrderForOpenInMirror, 2=OrderForClose, 3=OrderForCloseInMirror, 4=CancelDelayedOrderForOpen, 5=CancelDelayedOrderForClose, 6=CancelOrderForOpen, 7=CancelOrderForClose, 8=OrderForOpenStatusUpdateRejected, 9=OrderForCloseStatusUpdateRejected, 10=OrderForCloseStatusUpdateFilled, 11=OrderForOpenStatusUpdateFilled, 12=PositionClose, 13=PositionCloseByLimit, 14=PositionOpen, 15=OperationalOpenPosition, 16=OperationalClosePosition, 17=OperationalPositionAdjustment, 18=DirectOpenPosition, 19=DirectClosePosition, 20=OrderForCloseByLimit, 21=OrderForCloseByRate, 22=AdminOrderForOpenWithHedge, 23=AdminOrderForOpenWithoutHedge, 24=AdminPositionOpen. Renamed from `Id` in source. (Tier 2 - SP_Dictionaries_DL_To_Synapse)",Nullable integer code identifying the trading execution operation type. Not a primary key (column is defined as int NULL). Populated by SP_Dictionaries_DL_To_Synapse.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ExecutionOperationType.md,125,llm,WRONG,OperationTypeId int NULL,"Primary key. Integer code identifying the trading execution operation type. Values: 0=OrderForOpen, 1=OrderForOpenInMirror, 2=OrderForClose, 3=OrderForCloseInMirror, 4=CancelDelayedOrderForOpen, 5=CancelDelayedOrderForClose, 6=CancelOrderForOpen, 7=CancelOrderForClose, 8=OrderForOpenStatusUpdateReje"
Dim_HistorySplitRatio,ID,description,"Surrogate primary key, auto-incremented. NOT FOR REPLICATION indicates replication topology. Uniquely identifies each split event. (Tier 1 — History.SplitRatio)",Integer primary key identifying each split ratio record. Not auto-incremented in the DWH; value is passed through from the staging source via SP_Dim_HistorySplitRatio_DL_To_Synapse.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_HistorySplitRatio.md,133,llm,WRONG,ID int NOT NULL,"Surrogate primary key, auto-incremented. NOT FOR REPLICATION indicates replication topology. Uniquely identifies each split event. (Tier 1 — History.SplitRatio)"
Dim_HistorySplitRatio,ID,description,Sequential integer primary key for the split ratio record. Passed through from PriceLog.History.SplitRatio without transformation. (Tier 2 -- SP_Dim_HistorySplitRatio_DL_To_Synapse),Integer primary key for the split ratio record. Passed through from DWH_staging.etoro_History_SplitRatio without transformation by SP_Dim_HistorySplitRatio_DL_To_Synapse.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_HistorySplitRatio.alter.sql,27,llm,WRONG,From [DWH_staging].[etoro_History_SplitRatio],Sequential integer primary key for the split ratio record. Passed through from PriceLog.History.SplitRatio without transformation. (Tier 2 -- SP_Dim_HistorySplitRatio_DL_To_Synapse)
Dim_Instrument,Name,description,"Instrument name as defined in Trade.Instrument. For forex: pair notation (e.g., EUR/USD). For stocks: company name (e.g., Apple, Alphabet). For crypto: token name. This is the internal instrument name, not necessarily the display name shown to users (see InstrumentDisplayName). (Tier 3 -- live data, etoro.Trade.GetInstrument)","Display name computed by Trade.GetInstrument as BuyCurrency Abbreviation + '/' + SellCurrency Abbreviation (e.g., EUR/USD for forex, AAPL/USD for stocks). Not a company name; see InstrumentDisplayName for human-readable labels.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.alter.sql,30,llm,WRONG,"The Name column concatenates buy and sell currency abbreviations for display (e.g., EUR/USD).","Instrument name as defined in Trade.Instrument. For forex: pair notation (e.g., EUR/USD). For stocks: company name (e.g., Apple, Alphabet). For crypto: token name. This is the internal instrument name, not necessarily the display name shown to users (see InstrumentDisplayName). (Tier 3 -- live data,"
Dim_Instrument_Correlation,Covariance,description,Sample covariance between price changes of instruments A and B. Formula: `SUM(a*b)/N - SUM(a)*SUM(b)/N²`. Positive = instruments move together; negative = opposite directions. (Tier 2 - SP_Dim_Instrument_Correlation_FilterByInstrumentID),"Population covariance between hourly price changes of instruments A and B. Formula: SUM(a*b)/N - SUM(a)*SUM(b)/N². Divides by N (not N-1), making it population covariance. Positive = instruments move together; negative = opposite directions.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Views/Dim_Instrument_Correlation.alter.sql,29,llm,WRONG,"cast(sum(PriceChange_a*PriceChange_b) as decimal(38,20))/count(*)-(cast(sum(PriceChange_a)*sum(PriceChange_b) as decimal(38,20)))/power(count(*),2.00) as Covariance",Sample covariance between price changes of instruments A and B. Formula: `SUM(a*b)/N - SUM(a)*SUM(b)/N²`. Positive = instruments move together; negative = opposite directions. (Tier 2 - SP_Dim_Instrument_Correlation_FilterByInstrumentID)
Dim_Instrument_Correlation,PearsonCorrelation,description,Pearson correlation coefficient: `Covariance / (StdDev_a * StdDev_b)`. Range: -1.0 (perfect inverse) to +1.0 (perfect correlation). NULL when either StdDev is zero (flat price). (Tier 2 - SP_Dim_Instrument_Correlation_FilterByInstrumentID),"Pearson correlation coefficient: Covariance / (StdDev_a * StdDev_b). Range: -1.0 to +1.0. Rows where either StdDev is zero are excluded by the HAVING clause, so this column is never NULL for that reason.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Views/Dim_Instrument_Correlation.alter.sql,30,llm,WRONG,having  STDEVP(PriceChange_a)>0 AND  STDEVP(PriceChange_b)>0,Pearson correlation coefficient: `Covariance / (StdDev_a * StdDev_b)`. Range: -1.0 (perfect inverse) to +1.0 (perfect correlation). NULL when either StdDev is zero (flat price). (Tier 2 - SP_Dim_Instrument_Correlation_FilterByInstrumentID)
Dim_MoveMoneyReason,MoveMoneyReason,description,"Human-readable money movement reason label. DWH labels: Adjustment, Bonus Abuser, Staking, Airdrop. Column name intentionally matches table name (denormalized pattern per upstream wiki). Used in financial reporting and account statements. Note: DWH label ""Airdrop"" for ID=4 diverges from production where ID=4 is marked deprecated. (Tier 1 - upstream wiki, Dictionary.MoveMoneyReason + Tier 3 - live data sampling)",Human-readable money movement reason label matching the denormalized table-name pattern noted in the upstream wiki. Production ID 4 is missing and only possibly deprecated per the upstream wiki — the DWH label 'Airdrop' for that ID cannot be confirmed from Tier-1 sources.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MoveMoneyReason.alter.sql,28,llm,WRONG,ID 4 is missing — possibly deprecated,"Human-readable money movement reason label. DWH labels: Adjustment, Bonus Abuser, Staking, Airdrop. Column name intentionally matches table name (denormalized pattern per upstream wiki). Used in financial reporting and account statements. Note: DWH label ""Airdrop"" for ID=4 diverges from production w"
Dim_PaymentStatus,PaymentStatusID,description,"Primary key identifying the payment state. 1=New, 2=Approved, 3=Decline, 4=Technical, 5=InProcess, 6=Canceled, 7=Confirmed. (Tier 1 — Dictionary.PaymentStatus)","Primary key identifying the payment state. 1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Failed, 6=Reversed, 7=CompletedExternally. (Tier 1 — Dictionary.PaymentStatus)",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PaymentStatus.md,113,llm,WRONG,"1 | Pending | Payment initiated but not yet entered processing. Initial state for all new payment records. User may see ""processing"" in their deposit history. |
| 2 | InProcess | Payment is actively being processed by the billing engine or payment provider. Funds have not yet been credited. |
| 3 | Processed | Successfully completed — funds have been credited to the user's account. Terminal success state. Balance is updated. |
| 4 | Canceled | Payment was canceled before completion. No funds moved. Terminal failure state. |
| 5 | Failed | Payment processing encountered an error. No funds moved. Terminal failure state. User may retry. |
| 6 | Reversed | A previously processed payment was reversed. Common causes: chargeback, duplicate detection, manual correction. Debits the credited amount from the user's account. |
| 7 | CompletedExternally | Payment was processed and reconciled outside the normal automated pipeline.","Primary key identifying the payment state. 1=New, 2=Approved, 3=Decline, 4=Technical, 5=InProcess, 6=Canceled, 7=Confirmed. (Tier 1 — Dictionary.PaymentStatus)"
Dim_PaymentStatus,PaymentStatusID,description,"Primary key identifying the payment state. 1=New, 2=Approved, 3=Decline, 4=Technical, 5=InProcess, 6=Canceled, 7=Confirmed. (Tier 1 - Dictionary.PaymentStatus)","Primary key identifying the payment state. 1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Failed, 6=Reversed, 7=CompletedExternally. (Tier 1 — Dictionary.PaymentStatus)",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PaymentStatus.alter.sql,27,llm,WRONG,"1 | Pending | Payment initiated but not yet entered processing. Initial state for all new payment records. User may see ""processing"" in their deposit history. |
| 2 | InProcess | Payment is actively being processed by the billing engine or payment provider. Funds have not yet been credited. |
| 3 | Processed | Successfully completed — funds have been credited to the user's account. Terminal success state. Balance is updated. |
| 4 | Canceled | Payment was canceled before completion. No funds moved. Terminal failure state. |
| 5 | Failed | Payment processing encountered an error. No funds moved. Terminal failure state. User may retry. |
| 6 | Reversed | A previously processed payment was reversed. Common causes: chargeback, duplicate detection, manual correction. Debits the credited amount from the user's account. |
| 7 | CompletedExternally | Payment was processed and reconciled outside the normal automated pipeline.","Primary key identifying the payment state. 1=New, 2=Approved, 3=Decline, 4=Technical, 5=InProcess, 6=Canceled, 7=Confirmed. (Tier 1 - Dictionary.PaymentStatus)"
Dim_PlayerStatus,DWHPlayerStatusID,description,DWH surrogate key -- always equals PlayerLevelID (redundant copy). Set by ETL: SELECT [PlayerStatusID] AS [DWHPlayerStatusID]. 0 for the ID=0 sentinel. (Tier 2 - SP_Dictionaries_DL_To_Synapse),DWH surrogate key -- always equals PlayerStatusID (redundant copy). Set by ETL: SELECT [PlayerStatusID] AS [DWHPlayerStatusID]. 0 for the ID=0 sentinel.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md,153,llm,WRONG,PlayerStatusID int NOT NULL,DWH surrogate key -- always equals PlayerLevelID (redundant copy). Set by ETL: SELECT [PlayerStatusID] AS [DWHPlayerStatusID]. 0 for the ID=0 sentinel. (Tier 2 - SP_Dictionaries_DL_To_Synapse)
Dim_PlayerStatus,DWHPlayerStatusID,description,DWH surrogate key -- always equals PlayerLevelID (redundant copy). Set by ETL: SELECT [PlayerStatusID] AS [DWHPlayerStatusID]. 0 for the ID=0 sentinel. (Tier 2 - SP_Dictionaries_DL_To_Synapse),DWH surrogate key -- always equals PlayerStatusID (redundant copy). Set by ETL: SELECT [PlayerStatusID] AS [DWHPlayerStatusID]. 0 for the ID=0 sentinel.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.alter.sql,38,llm,WRONG,PlayerStatusID int NOT NULL,DWH surrogate key -- always equals PlayerLevelID (redundant copy). Set by ETL: SELECT [PlayerStatusID] AS [DWHPlayerStatusID]. 0 for the ID=0 sentinel. (Tier 2 - SP_Dictionaries_DL_To_Synapse)
Dim_PlayerStatus,CanChatAndPost,description,"Whether the user can post to the social feed or chat. False when IsBlocked=1 and for status 3 (Chat Blocked). True for all other statuses including close-only. (Tier 1 - upstream wiki, Dictionary.PlayerStatus)","Whether the user can post to the social feed or chat. False when IsBlocked=1, for status 3 (Chat Blocked), and for close-only/pending statuses (9, 13, 15) where only Close and Login are permitted.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md,151,llm,WRONG,"[9/15: Close Only] Close ✓, Login ✓ — everything else ✗","Whether the user can post to the social feed or chat. False when IsBlocked=1 and for status 3 (Chat Blocked). True for all other statuses including close-only. (Tier 1 - upstream wiki, Dictionary.PlayerStatus)"
Dim_PlayerStatus,CanChatAndPost,description,"Whether the user can post to the social feed or chat. False when IsBlocked=1 and for status 3 (Chat Blocked). True for all other statuses including close-only. (Tier 1 - upstream wiki, Dictionary.PlayerStatus)","Whether the user can post to the social feed or chat. False when IsBlocked=1, for status 3 (Chat Blocked), and for close-only/pending statuses (9, 13, 15) where only Close and Login are permitted.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.alter.sql,36,llm,WRONG,"[9/15: Close Only] Close ✓, Login ✓ — everything else ✗","Whether the user can post to the social feed or chat. False when IsBlocked=1 and for status 3 (Chat Blocked). True for all other statuses including close-only. (Tier 1 - upstream wiki, Dictionary.PlayerStatus)"
Dim_PlayerStatus,CanDeposit,description,"Whether the user can add funds to their account. False for full-block statuses (IsBlocked=1), close-only statuses (9, 15), status 10 (Deposit Blocked), and status 11 (Social Index). (Tier 1 - upstream wiki, Dictionary.PlayerStatus)","Whether the user can add funds to their account. False for full-block statuses (IsBlocked=1), close-only/pending statuses (9, 13, 15), status 10 (Deposit Blocked), and status 11 (Social Index).",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md,148,llm,WRONG,"[13: Pending]   Close ✓, Login ✓ — everything else ✗","Whether the user can add funds to their account. False for full-block statuses (IsBlocked=1), close-only statuses (9, 15), status 10 (Deposit Blocked), and status 11 (Social Index). (Tier 1 - upstream wiki, Dictionary.PlayerStatus)"
Dim_PlayerStatus,CanDeposit,description,"Whether the user can add funds to their account. False for full-block statuses (IsBlocked=1), close-only statuses (9, 15), status 10 (Deposit Blocked), and status 11 (Social Index). (Tier 1 - upstream wiki, Dictionary.PlayerStatus)","Whether the user can add funds to their account. False for full-block statuses (IsBlocked=1), close-only/pending statuses (9, 13, 15), status 10 (Deposit Blocked), and status 11 (Social Index).",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.alter.sql,33,llm,WRONG,"[13: Pending]   Close ✓, Login ✓ — everything else ✗","Whether the user can add funds to their account. False for full-block statuses (IsBlocked=1), close-only statuses (9, 15), status 10 (Deposit Blocked), and status 11 (Social Index). (Tier 1 - upstream wiki, Dictionary.PlayerStatus)"
Dim_PositionChangeLog,ChangeTypeID,description,"Type of change event. Known codes: 0=Initial open, 1=Rate change, 2=Unknown, 5=Unknown (added 2024), 11=Partial close event, 12=Amount adjustment, 13=Unknown. No official lookup table in DWH. (Tier 4 - [UNVERIFIED])","Type of change event. Known codes from SP usage: 0=Initial open, 1=Invested-amount change, 11=Partial-close child, 12=Partial close. Codes 2, 5, 13 are unverified. No official lookup table in DWH.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PositionChangeLog.md,123,llm,WRONG,-- guym 2025-01-19 added opens (0) and partial close children (11),"Type of change event. Known codes: 0=Initial open, 1=Rate change, 2=Unknown, 5=Unknown (added 2024), 11=Partial close event, 12=Amount adjustment, 13=Unknown. No official lookup table in DWH. (Tier 4 - [UNVERIFIED])"
Dim_PositionChangeLog,ChangeTypeID,description,"Type of change event. Known codes: 0=Initial open, 1=Rate change, 2=Unknown, 5=Unknown (added 2024), 11=Partial close event, 12=Amount adjustment, 13=Unknown. No official lookup table in DWH. (Tier 4 - [UNVERIFIED])","Type of change event. Known codes from SP usage: 0=Initial open, 1=Invested-amount change, 11=Partial-close child, 12=Partial close. Codes 2, 5, 13 are unverified. No official lookup table in DWH.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PositionChangeLog.alter.sql,31,llm,WRONG,-- guym 2025-01-19 added opens (0) and partial close children (11),"Type of change event. Known codes: 0=Initial open, 1=Rate change, 2=Unknown, 5=Unknown (added 2024), 11=Partial close event, 12=Amount adjustment, 13=Unknown. No official lookup table in DWH. (Tier 4 - [UNVERIFIED])"
Dim_PositionHedgeServerChangeLog_Snapshot,PositionID,description,The position that was moved between hedge servers. References Trade.PositionTbl.PositionID (implicit - no declared FK). Part of composite PK with OperationSummaryID. A position can appear multiple times if moved across different operations. (Tier 1 — Trade.PositionsHedgeServerChangeLog),The position whose hedge-server assignment is tracked. References Trade.PositionTbl.PositionID (implicit). A position can appear in multiple rows representing successive hedge-server assignment periods (SCD Type 2). No OperationSummaryID column exists in this snapshot table.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PositionHedgeServerChangeLog_Snapshot.md,117,llm,WRONG,"PositionID bigint NOT NULL
  HedgeServerID int NOT NULL
  FromDate int NULL
  ToDate int NULL
  UpdateDate datetime NULL",The position that was moved between hedge servers. References Trade.PositionTbl.PositionID (implicit - no declared FK). Part of composite PK with OperationSummaryID. A position can appear multiple times if moved across different operations. (Tier 1 — Trade.PositionsHedgeServerChangeLog)
Dim_RedeemStatus,IsCancelable,description,"Whether user can cancel the redeem at this stage. True=cancelable, False=positions are closing or closed (point of no return). False: PositionClosed(6), TransactionInProcess(7), TransactionDone(8), Terminated(20). (Tier 1 - upstream wiki, Dictionary.RedeemStatus)","Whether the user can cancel the redeem request at this stage. 1=cancelable, 0=committed. Per upstream wiki, only Pending (ID 1) is cancelable; InProcess, Completed, Failed, and CompletedPartially are all IsCancelable=0. The False list must include upstream IDs 2, 3, 5, 6 at minimum, not just IDs 6, 7, 8, 20.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RedeemStatus.md,129,llm,WRONG,"1=cancellable (Pending), 0=committed (InProcess, Completed, Failed). The cancel boundary is the point when positions start closing.","Whether user can cancel the redeem at this stage. True=cancelable, False=positions are closing or closed (point of no return). False: PositionClosed(6), TransactionInProcess(7), TransactionDone(8), Terminated(20). (Tier 1 - upstream wiki, Dictionary.RedeemStatus)"
Dim_RedeemStatus,IsCancelable,description,"Whether user can cancel the redeem at this stage. True=cancelable, False=positions are closing or closed (point of no return). False: PositionClosed(6), TransactionInProcess(7), TransactionDone(8), Terminated(20). (Tier 1 - upstream wiki, Dictionary.RedeemStatus)","Whether the user can cancel the redeem request at this stage. 1=cancelable, 0=committed. Per upstream wiki, only Pending (ID 1) is cancelable; InProcess, Completed, Failed, and CompletedPartially are all IsCancelable=0. The False list must include upstream IDs 2, 3, 5, 6 at minimum, not just IDs 6, 7, 8, 20.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RedeemStatus.alter.sql,30,llm,WRONG,"1=cancellable (Pending), 0=committed (InProcess, Completed, Failed). The cancel boundary is the point when positions start closing.","Whether user can cancel the redeem at this stage. True=cancelable, False=positions are closing or closed (point of no return). False: PositionClosed(6), TransactionInProcess(7), TransactionDone(8), Terminated(20). (Tier 1 - upstream wiki, Dictionary.RedeemStatus)"
Dim_VerificationStatus,VerificationStatusID,description,Primary key (clustered index). Numeric identifier for the verification workflow status from UserApiDB. Exactly 3 distinct values observed in live data. No upstream wiki — exact ID-to-meaning mapping requires domain expert review. (Tier 2 — SP_Dictionaries_DL_To_Synapse),"Nullable integer identifier for the verification status, sourced from UserApiDB_Dictionary_VerificationStatus. Not declared as a primary key or indexed in the DDL.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationStatus.md,77,llm,WRONG,VerificationStatusID int NULL,Primary key (clustered index). Numeric identifier for the verification workflow status from UserApiDB. Exactly 3 distinct values observed in live data. No upstream wiki — exact ID-to-meaning mapping requires domain expert review. (Tier 2 — SP_Dictionaries_DL_To_Synapse)
Dim_VerificationStatus,VerificationStatusID,description,Primary key (clustered index). Numeric identifier for the verification workflow status from UserApiDB. Exactly 3 distinct values observed in live data. No upstream wiki - exact ID-to-meaning mapping requires domain expert review. (Tier 2 - SP_Dictionaries_DL_To_Synapse),"Nullable integer identifier for the verification status, sourced from UserApiDB_Dictionary_VerificationStatus. Not declared as a primary key or indexed in the DDL.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationStatus.alter.sql,27,llm,WRONG,VerificationStatusID int NULL,Primary key (clustered index). Numeric identifier for the verification workflow status from UserApiDB. Exactly 3 distinct values observed in live data. No upstream wiki - exact ID-to-meaning mapping requires domain expert review. (Tier 2 - SP_Dictionaries_DL_To_Synapse)
